experiment,scenario,rotation,quantity,annual_or_stock_mean_mg,realization_mean_q025_mg,realization_mean_q975_mg,rotation_flow_total_mean_mg
supplied_baseline,supplied,1,standing_biomass,16574.5041206864,16574.5041206864,16574.5041206864,
supplied_baseline,supplied,1,harvest,537.5714848140875,537.5714848140875,537.5714848140875,12901.715635538101
supplied_baseline,supplied,1,charcoal,107.51429696281751,107.51429696281751,107.51429696281751,2580.34312710762
supplied_baseline,supplied,2,standing_biomass,15549.186850393811,15549.186850393811,15549.186850393811,
supplied_baseline,supplied,2,harvest,531.5678734183311,531.5678734183311,531.5678734183311,12757.628962039948
supplied_baseline,supplied,2,charcoal,106.31357468366623,106.31357468366623,106.31357468366623,2551.5257924079897
legacy_unbounded_reference,reference,1,standing_biomass,13015.59985828091,909.7711271692843,26800.837714911246,
legacy_unbounded_reference,reference,1,harvest,357.8275604664782,20.667187492052715,707.9833178063233,8587.861451195478
legacy_unbounded_reference,reference,1,charcoal,69.68843478339429,3.5008835178547653,140.3197842618151,1672.5224348014629
legacy_unbounded_reference,reference,2,standing_biomass,13083.302155167657,813.0674257615582,29405.066136937836,
legacy_unbounded_reference,reference,2,harvest,345.7291035307696,0.0,796.5076170980929,8297.49848473847
legacy_unbounded_reference,reference,2,charcoal,66.31790537091587,0.0,152.49233469247275,1591.6297289019813
legacy_unbounded_reference,reference,3,standing_biomass,13696.584658182506,813.5045131772756,31777.04465518357,
legacy_unbounded_reference,reference,3,harvest,365.6544789701948,0.0,869.2870709846417,8775.707495284676
legacy_unbounded_reference,reference,3,charcoal,71.20079749206101,0.0,176.5905812842503,1708.8191398094643
legacy_bounded_reference,reference,1,standing_biomass,13015.59985828091,909.7711271692843,26800.837714911246,
legacy_bounded_reference,reference,1,harvest,357.8275604664782,20.667187492052715,707.9833178063233,8587.861451195478
legacy_bounded_reference,reference,1,charcoal,69.68843478339429,3.5008835178547653,140.3197842618151,1672.5224348014629
legacy_bounded_reference,reference,2,standing_biomass,13083.302155167657,813.0674257615582,29405.066136937836,
legacy_bounded_reference,reference,2,harvest,345.7291035307696,0.0,796.5076170980929,8297.49848473847
legacy_bounded_reference,reference,2,charcoal,66.31790537091587,0.0,152.49233469247275,1591.6297289019813
legacy_bounded_reference,reference,3,standing_biomass,13696.584658182506,813.5045131772756,31777.04465518357,
legacy_bounded_reference,reference,3,harvest,365.6544789701948,0.0,869.2870709846417,8775.707495284676
legacy_bounded_reference,reference,3,charcoal,71.20079749206101,0.0,176.5905812842503,1708.8191398094643
corrected_bounded_reference,reference,1,standing_biomass,16700.060006321255,12678.584313142012,21076.379841102065,
corrected_bounded_reference,reference,1,harvest,544.0804637581109,462.96655802410095,653.7425080727785,13057.931130194664
corrected_bounded_reference,reference,1,charcoal,106.0353046874295,86.81047894783197,128.77860816827751,2544.8473124983084
corrected_bounded_reference,reference,2,standing_biomass,15256.875436999213,8742.527166045955,21545.329554534015,
corrected_bounded_reference,reference,2,harvest,469.8469752202431,0.12590769529342652,704.7400501549242,11276.327405285836
corrected_bounded_reference,reference,2,charcoal,90.1823565086336,0.022832320189542128,132.79269709882095,2164.3765562072062
corrected_bounded_reference,reference,3,standing_biomass,15069.05064379818,8618.469512106021,21553.382408050875,
corrected_bounded_reference,reference,3,harvest,453.0078782619288,7.129747591229776,705.8753681828578,10872.18907828629
corrected_bounded_reference,reference,3,charcoal,87.86389237554475,1.3683114276324382,139.805412846466,2108.733417013075
legacy_unbounded_conservative,conservative,1,standing_biomass,22456.101532319422,1649.1870952937752,31164.869671694436,
legacy_unbounded_conservative,conservative,1,harvest,332.962128376464,10.1375000278155,462.82407256712514,7991.091081035137
legacy_unbounded_conservative,conservative,1,charcoal,76.74354255942728,2.4727524810534307,107.5897789824708,1841.8450214262548
legacy_unbounded_conservative,conservative,2,standing_biomass,23591.467896595812,1242.401354489817,34102.18087893178,
legacy_unbounded_conservative,conservative,2,harvest,348.0405061868826,0.0,516.2063235968351,8352.972148485183
legacy_unbounded_conservative,conservative,2,charcoal,79.51792314981546,0.0,120.0544491688939,1908.4301555955715
legacy_unbounded_conservative,conservative,3,standing_biomass,24671.742447656114,1242.4012136936187,37435.95849117289,
