experiment,rotation,quantity,realizations,mean,q025,q975,monte_carlo_standard_error
corrected_bounded_conservative,1,standing_biomass,1000,22378.61857112357,17799.335514972296,27220.789973143983,72.88657153637078
corrected_bounded_conservative,1,harvest,1000,357.2321837778886,295.4372325981657,423.0804443349441,0.9962411665706711
corrected_bounded_conservative,1,charcoal,1000,82.0914857001937,67.56671438226469,97.25420962090725,0.23821089060599202
corrected_bounded_conservative,2,standing_biomass,1000,23368.00339110492,17941.40277047766,28870.7543476399,85.12794685579235
corrected_bounded_conservative,2,harvest,1000,380.6270159134269,275.5945328988135,466.30840564568837,1.633490829171352
corrected_bounded_conservative,2,charcoal,1000,87.41298060168768,62.682618087095435,108.4499015553439,0.3836717243866209
corrected_bounded_conservative,3,standing_biomass,1000,23378.90533465971,17900.273311877187,28871.371603151285,84.96110160864129
corrected_bounded_conservative,3,harvest,1000,380.7002044189771,270.6375857122242,466.3449996789296,1.6637175809891929
corrected_bounded_conservative,3,charcoal,1000,87.58220938468367,61.640786875733056,108.52813205287568,0.39041100710611265
corrected_bounded_intensive,1,standing_biomass,1000,11037.909865182819,9935.679056884734,13349.606269699767,28.60034650692386
corrected_bounded_intensive,1,harvest,1000,666.8718394267584,609.1389745698,770.0246867768466,1.373392194301034
corrected_bounded_intensive,1,charcoal,1000,121.29656283864524,102.84336548027484,144.7262562385983,0.33831046646219487
corrected_bounded_intensive,2,standing_biomass,1000,4268.319552749136,2893.548620139673,9268.700599418968,50.558197230956715
corrected_bounded_intensive,2,harvest,1000,132.7214064903407,7.042928573531874,639.5495998380082,5.428989907280886
corrected_bounded_intensive,2,charcoal,1000,24.06257182663962,1.3175930227274335,116.07331602933412,0.9873038046157301
corrected_bounded_intensive,3,standing_biomass,1000,3904.550333229418,2829.146526451194,9071.764352217086,48.019015939760095
corrected_bounded_intensive,3,harvest,1000,78.71948544533271,0.08121685024999958,622.6667312676705,5.209615814069769
corrected_bounded_intensive,3,charcoal,1000,14.307385872995932,0.015274031337234073,113.7500837684173,0.9454868762034846
