experiment,scenario,rotation,quantity,annual_or_stock_mean_mg,realization_mean_q025_mg,realization_mean_q975_mg,rotation_flow_total_mean_mg
supplied_baseline,supplied,1,standing_biomass,16574.5041206864,16574.5041206864,16574.5041206864,
supplied_baseline,supplied,1,harvest,537.5714848140875,537.5714848140875,537.5714848140875,12901.715635538101
supplied_baseline,supplied,1,charcoal,107.51429696281751,107.51429696281751,107.51429696281751,2580.34312710762
supplied_baseline,supplied,2,standing_biomass,15549.186850393811,15549.186850393811,15549.186850393811,
supplied_baseline,supplied,2,harvest,531.5678734183311,531.5678734183311,531.5678734183311,12757.628962039948
supplied_baseline,supplied,2,charcoal,106.31357468366623,106.31357468366623,106.31357468366623,2551.5257924079897
corrected_bounded_reference,reference,1,standing_biomass,16918.187255354344,12676.380938088816,21395.24515329022,
corrected_bounded_reference,reference,1,harvest,547.8037213853896,459.41630312322326,651.4037672096242,13147.28931324935
corrected_bounded_reference,reference,1,charcoal,106.12993618221604,87.25152003971256,127.6819964085107,2547.118468373185
corrected_bounded_reference,reference,2,standing_biomass,15569.462032740334,8542.953275482249,21917.808056077298,
corrected_bounded_reference,reference,2,harvest,484.79475944625835,13.475937076161314,695.31698453178,11635.0742267102
corrected_bounded_reference,reference,2,charcoal,93.77097528326682,2.7468081321576414,135.59459772525233,2250.503406798404
corrected_bounded_reference,reference,3,standing_biomass,15397.612384130589,8618.660098664252,21924.052021862193,
corrected_bounded_reference,reference,3,harvest,465.61695691770814,2.4486079445108775,697.2005842695633,11174.806966024995
corrected_bounded_reference,reference,3,charcoal,90.35969065838749,0.48265523327803583,137.78961163236124,2168.6325758013
corrected_bounded_conservative,conservative,1,standing_biomass,22378.61857112357,17799.335514972296,27220.789973143983,
corrected_bounded_conservative,conservative,1,harvest,357.2321837778886,295.4372325981657,423.0804443349441,8573.572410669327
corrected_bounded_conservative,conservative,1,charcoal,82.0914857001937,67.56671438226469,97.25420962090723,1970.1956568046492
corrected_bounded_conservative,conservative,2,standing_biomass,23368.00339110492,17941.40277047766,28870.7543476399,
corrected_bounded_conservative,conservative,2,harvest,380.6270159134269,275.5945328988135,466.30840564568837,9135.048381922245
corrected_bounded_conservative,conservative,2,charcoal,87.41298060168768,62.68261808709542,108.4499015553439,2097.9115344405045
corrected_bounded_conservative,conservative,3,standing_biomass,23378.90533465971,17900.273311877187,28871.371603151285,
corrected_bounded_conservative,conservative,3,harvest,380.7002044189771,270.6375857122242,466.3449996789296,9136.804906055451
corrected_bounded_conservative,conservative,3,charcoal,87.58220938468367,61.640786875733056,108.52813205287568,2101.9730252324075
corrected_bounded_intensive,intensive,1,standing_biomass,11037.909865182819,9935.679056884734,13349.606269699767,
corrected_bounded_intensive,intensive,1,harvest,666.8718394267584,609.1389745698,770.0246867768466,16004.924146242201
corrected_bounded_intensive,intensive,1,charcoal,121.29656283864524,102.84336548027487,144.7262562385983,2911.1175081274855
corrected_bounded_intensive,intensive,2,standing_biomass,4268.319552749136,2893.548620139673,9268.700599418968,
corrected_bounded_intensive,intensive,2,harvest,132.7214064903407,7.042928573531874,639.5495998380082,3185.313755768177
corrected_bounded_intensive,intensive,2,charcoal,24.062571826639623,1.3175930227274335,116.07331602933412,577.5017238393509
corrected_bounded_intensive,intensive,3,standing_biomass,3904.550333229418,2829.146526451194,9071.764352217086,
corrected_bounded_intensive,intensive,3,harvest,78.71948544533271,0.08121685024999958,622.6667312676705,1889.2676506879857
corrected_bounded_intensive,intensive,3,charcoal,14.307385872995932,0.01527403133723407,113.7500837684173,343.3772609519023
corrected_management_only_conservative,conservative,1,standing_biomass,19347.204937178678,15207.367353171607,23640.55369318823,
corrected_management_only_conservative,conservative,1,harvest,317.82834822136164,263.30098833342396,378.5744911633432,7627.88035731268
corrected_management_only_conservative,conservative,1,charcoal,61.55047581143544,50.13925337965523,74.6146563977761,1477.2114194744504
corrected_management_only_conservative,conservative,2,standing_biomass,19751.156398209467,14460.033548558378,25180.902040136854,
corrected_management_only_conservative,conservative,2,harvest,299.79718895356854,5.316199297457934,416.8057030121485,7195.132534885645
corrected_management_only_conservative,conservative,2,charcoal,57.991485409564646,0.952512655910777,81.19603199680662,1391.7956498295516
